database_x,database_y,description_x,description_y,label
hospital_admission_record-patient_name,admission_records-name,Full name of the patient.,Patient's full name.,1
hospital_admission_record-patient_name,admission_records-gender,Full name of the patient.,Patient's gender.,0
hospital_admission_record-patient_name,admission_records-physical_examination,Full name of the patient.,Notes from the physical examination of the patient.,0
hospital_admission_record-patient_name,admission_records-personal_history,Full name of the patient.,Patient's personal history.,0
hospital_admission_record-patient_name,admission_records-preliminary_diagnosis,Full name of the patient.,Initial diagnosis made upon admission.,0
hospital_admission_record-patient_name,admission_records-chief_complaint,Full name of the patient.,Main complaint or reason for admission.,0
hospital_admission_record-patient_name,admission_records-historian,Full name of the patient.,Person providing the medical history.,0
hospital_admission_record-patient_name,admission_records-admission_date,Full name of the patient.,Date when the patient was admitted.,0
hospital_admission_record-patient_name,admission_records-place_of_birth,Full name of the patient.,Patient's place of birth.,0
hospital_admission_record-patient_name,admission_records-current_address,Full name of the patient.,Residential address of the patient.,0
hospital_admission_record-patient_name,admission_records-marital_status,Full name of the patient.,Patient's marital status.,0
hospital_admission_record-patient_name,admission_records-obstetric_history,Full name of the patient.,History of pregnancies and childbirth.,0
hospital_admission_record-patient_name,admission_records-family_history,Full name of the patient.,Medical history of the patient's family.,0
hospital_admission_record-patient_name,admission_records-age,Full name of the patient.,Patient's age.,0
hospital_admission_record-patient_name,admission_records-current_department,Full name of the patient.,The specific department or unit where the patient is currently receiving treatment.,0
hospital_admission_record-patient_name,admission_records-household_registration_address,Full name of the patient.,Registered permanent address.,0
hospital_admission_record-patient_name,admission_records-past_medical_history,Full name of the patient.,Patient's previous medical history.,0
hospital_admission_record-patient_name,admission_records-date,Full name of the patient.,General date of record.,0
hospital_admission_record-patient_name,admission_records-menstrual_history,Full name of the patient.,History of the patient's menstrual cycle.,0
hospital_admission_record-patient_name,admission_records-ethnicity,Full name of the patient.,Patient's ethnic background.,0
hospital_admission_record-patient_name,admission_records-parents_name,Full name of the patient.,Name of the patient's biological or adoptive parent (if applicable).,0
hospital_admission_record-patient_name,admission_records-present_illness_history,Full name of the patient.,History of the present illness.,0
hospital_admission_record-patient_name,admission_records-phone_number,Full name of the patient.,Patient's contact phone number.,0
hospital_admission_record-patient_name,admission_records-occupation,Full name of the patient.,Patient's occupation.,0
hospital_admission_record-patient_name,admission_records-drug_and_food_allergy_history,Full name of the patient.,History of allergies to drugs and food.,0
hospital_admission_record-patient_name,admission_records-auxiliary_examination,Full name of the patient.,Notes from additional examinations and tests.,0
hospital_admission_record-patient_name,normal_discharge_records-case_number,Full name of the patient.,Unique identifier for the patient's case.,0
hospital_admission_record-patient_name,normal_discharge_records-hospital_course,Full name of the patient.,Summary of the patient's hospital stay and progress.,0
hospital_admission_record-patient_name,normal_discharge_records-admission_condition,Full name of the patient.,Patient's condition upon admission.,0
hospital_admission_record-patient_name,normal_discharge_records-admission_time,Full name of the patient.,The exact time when the patient was admitted.,0
hospital_admission_record-patient_name,normal_discharge_records-admission_diagnosis,Full name of the patient.,Initial diagnosis when the patient was admitted.,0
